Matter_ID,RMS_CaseNumber_Standardized,Suspect_Acquaintance_NJIT,Suspect_Acquaintance,Suspect_Neighbor,Suspect_Planned_first_meeting_dating
5061515,01-5440,1,1,0,0
5094167,12-116403,1,1,0,0
5105761,93-28418,1,1,0,0
5107283,05-281380,1,1,0,0
5107652,93-40722,1,1,0,0
5107654,93-46357,1,1,0,0
5107656,93-33703,1,1,0,0
5107935,93-30041,1,1,0,0
5108102,93-24225,1,1,0,0
5108732,93-22684,1,1,0,0
5108733,93-29186,1,1,0,0
5108735,93-38803,1,1,0,0
5108738,94-1867,1,1,0,0
5109199,93-19603,1,1,0,0
5109583,93-91574,1,1,0,0
5109685,93-51996,1,1,0,0
5109948,93-26344,1,1,0,0
5109950,93-34834,1,1,0,0
5110048,93-28276,1,1,0,0
5110057,93-45688,1,1,0,0
5110062,93-71196,1,1,0,0
5110063,95-44990,1,1,0,0
5110371,93-51995,1,1,0,0
5110808,93-36472,1,1,0,0
5111137,95-13107,1,1,0,0
5111197,93-76160,1,1,0,0
5111201,93-88420,1,1,0,0
5111205,08-201492,1,0,1,0
5111383,93-59262,1,1,0,0
5111428,95-22,1,1,0,0
5111525,93-51879,1,1,0,0
5111529,94-6131,1,0,1,0
5112316,94-31278,1,1,0,0
5114220,94-14961,1,1,0,0
5114810,94-11459,1,1,0,0
5115289,94-42628,1,1,0,0
5115290,94-37436,1,1,0,0
5115730,94-15520,1,1,0,0
5115968,94-44822,1,1,0,0
5116095,93-21559,1,1,0,0
5116095,94-39961,1,1,0,0
5116427,94-54970,1,1,0,0
5116431,93-55533,1,1,0,0
5116677,05-341523,1,1,0,0
5117130,94-73354,1,1,0,0
5117273,95-18523,1,1,0,0
5118166,94-58765,1,0,0,1
5118183,94-74355,1,1,0,0
5118186,94-51192,1,1,0,0
5119174,94-78791,1,1,0,0
5119509,95-51134,1,1,0,0
5120109,95-40577,1,1,0,0
5120192,95-2633,1,1,0,0
5120482,94-29248,1,1,0,0
5120548,13-43472,1,1,0,0
5121194,95-54809,1,1,0,0
5121932,93-75107,1,1,0,0
5121953,93-76514,1,1,0,0
5121955,93-77667,1,1,0,0
5122223,97-133,1,1,0,0
5122846,96-1374,1,1,0,0
5122846,98-68099,1,1,0,0
5123130,95-63606,1,1,0,0
5123775,12-970,1,1,0,0
5124083,97-4264,1,1,0,0
5124090,95-82235,1,1,0,0
5124250,95-92773,1,1,0,0
5124458,96-3918,1,1,0,0
5124629,04-311897,1,1,0,0
5124657,95-82113,1,1,0,0
5124737,09-91172,1,1,0,0
5124825,96-7360,1,1,0,0
5124828,96-3213,1,1,0,0
5125139,02-614122,1,1,0,0
5125161,96-9921,1,1,0,0
5125239,94-29465,1,1,0,0
5125863,98-99555,1,1,0,0
5126468,96-28667,1,1,0,0
5127160,97-45615,1,1,0,0
5127211,96-1064701,1,1,0,0
5127586,94-115,1,1,0,0
5127684,94-6624,1,0,0,1
5127752,94-11232,1,1,0,0
5127791,94-78972,1,1,0,0
5127844,95-47264,1,1,0,0
5127844,96-48846,1,1,0,0
5128271,96-38729,1,1,0,0
5128271,97-96641,1,1,0,0
5128329,96-73514,1,1,0,0
5128353,96-94693,1,0,1,0
5128481,94-47006,1,1,0,0
5130157,96-25412,1,1,0,0
5130225,02-456618,1,1,0,0
5131699,97-15163,1,1,0,0
5132159,94-18716,1,1,0,0
5132173,94-26563,1,1,0,0
5132791,97-43307,1,1,0,0
5132801,97-58565,1,1,0,0
5132810,97-73971,1,1,0,0
5133295,13-207577,1,0,0,1
5133392,96-60734,1,1,0,0
5133395,97-39911,1,0,1,0
5134534,05-289331,1,0,1,0
