Matter_ID,RMS_CaseNumber_Standardized,Any_anal_penetration
5121414,95-45870,1
5164480,95-83297,1
5140497,01-114576,1
5198273,07-174257,1
5180174,96-62118,1
5128327,96-65759,1
5128271,97-96641,1
5156025,06-150531,1
5116034,04-25347,1
5182328,97-87651,1
5114810,94-11459,1
5199160,07-373522,1
5180288,00-96073162,1
5115256,94-58078,1
5116095,94-39961,1
5116425,93-69400,1
5117584,94-83885,1
5110340,93-93443,1
5116095,93-78071,1
5145911,95-12880,1
5122056,93-73090,1
5107783,95-36619,1
5110137,94-68061,1
5135899,94-46094,1
5106633,93-46257,1
5135631,95-9656,1
5108697,02-411145,1
5109534,93-77886,1
5123469,93-88469,1
5120464,95-65469,1
5178264,96-34485,1
5123775,12-970,1
5111428,95-22,1
5124087,95-6413,1
5152475,07-323421,1
5157902,08-132481,1
5120818,95-52210,1
5128271,96-38729,1
5180208,96-71557,1
5178346,94048860,1
5198189,07-173044,1
5124085,96-1549,1
5173370,97-63265,1
5128329,96-73514,1
5180056,96-55969,1
5192025,04-541507,1
5190660,94-68320,1
5151273,95-31123,1
5150377,08-151759,1
5138638,94-55841,1
5190379,03-19857,1
5190379,03-19857,1
5186424,03-24684,1
5124445,94-6519,1
5107877,93-16864,1
5195641,05-550174,1
5172946,96-11873,1
5187773,08-294186,1
5124445,95-77200,1
5117366,94-67459,1
5177922,95051256,1
5187724,01-205494,1
5178331,94-48239,1
5145359,08-17787,1
5110403,93-62660,1
5149852,08-267167,1
5212597,10-9590,1
5193768,05-328709,1
5193234,98-88524,1
5115256,93-94487,1
5139712,96-15552,1
5135496,98-91066,1
5135887,94-42868,1
5151258,95-27240,1
5149922,94-86101,1
5107793,98-12365,1
5182510,98-17411,1
5153602,09-32625,1
5103967,00-406453,1
5151092,08-219153,1
5210900,01-9-7066,1
5120464,95-63399,1
5183964,98-9672,1
5131716,97-90470,1
5107686,93-80730,1
5149418,08-328551,1
5180416,96-43138,1
5135906,94-48826,1
5116095,93-21559,1
5151352,08-18439,1
5198861,07-242007,1
5171716,96-7145,1
5108733,93-29186,1
5178245,96-32725,1
5183128,02-119780,1
5140471,98-21227,1
5180603,96-62316,1
5151056,08-177199,1
5162153,02-474684,1
5200971,08-267790,1
5042972,03-118961,1
5187812,03-269454,1
5186983,03-298304,1
5103967,96-33171,1
5201499,09-103198,1
5188603,02-233463,1
5128258,96-30485,1
5187780,03-5499,1
5195636,05-542665,1
5147304,98-49,1
5187807,03-231544,1
5108697,94-11201,1
5125123,95-100478,1
5108697,93-52398,1
5111201,93-88420,1
5149521,09-257113,1
5151085,08-384874,1
5114443,93-67795,1
5115256,94-32981,1
5125123,94-69367,1
5107793,01-170373,1
5177796,01-103314,1
5195641,05-550174,1
5183402,02-296424,1
5182647,98-42945,1
5178858,95014740,1
5195641,05-550174,1
5187757,02-452247,1
5187834,07-102280,1
5186675,06-515162,1
5165866,08-8527,1
5132791,97-43307,1
5181857,97-63330,1
5187845,04-276109,1
5164482,95-88215,1
5164075,95-69880,1
5151375,07-283396,1
5180180,96-66908,1
5158008,95-52606,1
5129678,06-2811,1
5181193,00-328544,1
5180583,96-46803,1
5180003,96-50525,1
5187982,97-66530,1
5139344,98-51787,1
5180183,96-67687,1
5187929,03-398504,1
5170071,03-68133,1
5162207,04-431430,1
5180044,96-55387,1
