Matter_ID,RMS_CaseNumber_Standardized,forced_veh_immediate_attack
5164194,98-36192,1
5189203,04-491012,1
5156588,06-243368,1
5116432,93-88593,1
5187756,02-424649,1
5111199,10-247169,1
5141962,94-85965,1
5144288,94-98075,1
5105761,96-45754,1
5127667,94-5423,1
5144290,95-158,1
5180992,96-37163,1
5164480,95-83297,1
5180608,96-65973,1
5180174,96-62118,1
5114810,94-11459,1
5115256,94-58078,1
5117584,94-83885,1
5110340,93-93443,1
5116095,93-78071,1
5122056,93-73090,1
5107783,95-36619,1
5110137,94-68061,1
5135899,94-46094,1
5106633,93-46257,1
5120818,95-52210,1
5124085,96-1549,1
5173370,97-63265,1
5190660,94-68320,1
5124445,94-6519,1
5177922,95051256,1
5193271,05-201688,1
5138785,96-14699,1
5156025,06-125010,1
5124022,94-59484,1
5143133,94-58017,1
5117352,95-36091,1
5128331,96-83854,1
5124854,96-65900,1
5149877,01-428320,1
5129785,97-2514,1
5110280,93-29317,1
5143010,94-64315,1
5127854,96-68928,1
5175420,96-30856,1
5125863,96-44014,1
5158359,07-188799,1
5115974,94-50392,1
5115256,94-10722,1
5156024,04-159810,1
5107647,95-66372,1
5110280,93-44509,1
5123329,94-60890,1
5120109,95-40577,1
5141953,94-77952,1
5145642,06-446171,1
5106695,05-488497,1
5118186,94-51192,1
5110373,93-56858,1
5121938,93-76287,1
5146747,14-276602,1
5144271,94-94917,1
5116427,94-54970,1
5135012,94-1623,1
5061467,05-405392,1
5124085,95-58007,1
5124085,95-82977,1
5124085,96-99418,1
5159017,14-152778,1
5132183,94-19501,1
5135904,94-47498,1
5124705,95-36538,1
5111133,94-24302,1
5198575,07-325433,1
5180295,96-77401,1
5061515,01-5440,1
5190797,96-7635,1
5153582,07-461898,1
5132778,97-11054,1
5127036,96-68759,1
5140514,00-437681,1
5178219,96-32033,1
5171043,03-505611,1
5158053,95-61678,1
5123732,95-68830,1
5131878,13-2050,1
5187738,99-25638,1
5106717,09-87793,1
5156484,02-305053,1
5164195,05-26549,1
5124575,01-249847,1
5134358,97-55297,1
5109671,95-78702,1
5200943,08-242673,1
5158122,06-66220,1
5146107,03-429844,1
5187715,01-8328,1
5124844,95-97218,1
5166764,04-475843,1
5124250,95-92773,1
5132348,99-79705,1
5138785,98-73211,1
5187991,07-126612,1
5123133,98-93232,1
5190658,94-67929,1
5192616,05-59686,1
5186491,04-163384,1
5162975,08-9561,1
5164488,95-82460,1
5193768,05-328709,1
5115256,93-94487,1
5135887,94-42868,1
5151258,95-27240,1
5107793,98-12365,1
5103967,00-406453,1
5135906,94-48826,1
5108733,93-29186,1
5180603,96-62316,1
5151056,08-177199,1
5162153,02-474684,1
5128258,96-30485,1
5187807,03-231544,1
5125123,95-100478,1
5114443,93-67795,1
5115256,94-32981,1
5107793,01-170373,1
5186675,06-515162,1
5151375,07-283396,1
5180583,96-46803,1
5187929,03-398504,1
5162207,04-431430,1
5156025,14-361090,1
5160991,04-273750,1
5111330,94-28922,1
5114222,94-30384,1
5187928,04-174607,1
5180588,96-60035,1
5187708,96-4545,1
5123329,93-23968,1
5152819,07-96547,1
5143084,00-567983,1
5127160,97-45615,1
5144711,01-296437,1
5154908,99-74278,1
5120151,95-42381,1
5145642,06-407135,1
5117215,94-70739,1
5158010,95-53540,1
5151234,95-34568,1
5117391,94-73124,1
5147979,95-19858,1
5111213,93-93369,1
5125067,95-51437,1
5109951,93-33187,1
5127680,94-5952,1
5127764,94-14255,1
5138712,94-71282,1
5111738,95-59921,1
5113996,94-17777,1
5116095,94-88473,1
5120123,95-58494,1
5145642,06-417303,1
5160173,05-128150,1
5110028,93-70392,1
5120118,95-52853,1
5124205,95-60987,1
5136563,00-265549,1
5145887,95-2291,1
5147981,95-20757,1
5158016,95-56559,1
5108811,94-96168,1
5110037,93-65296,1
5112307,93-58405,1
5123401,93-84316,1
5110340,95-309,1
5144272,94-95305,1
5116292,94-95376,1
5138714,94-71665,1
5151078,08-212779,1
5114443,93-15842,1
5134509,97-57743,1
5107289,94-25756,1
5107693,94-3726,1
5117216,94-80930,1
5132820,94-14099,1
5133295,00-619828,1
5133295,99-20473,1
5137104,94-85130,1
5141937,94-73143,1
5157932,95-45196,1
5159017,14-152778,1
5105761,93-28418,1
5108697,94-718,1
5109680,93-52189,1
5109948,93-26344,1
5109950,93-34834,1
5110217,93-53332,1
5114443,93-85143,1
5114443,94-15496,1
5121193,95-35696,1
5127844,96-48846,1
5132531,95-42506,1
