Matter_ID,RMS_CaseNumber_Standardized,Any_Residence
5191947,04-87569,1
5164194,98-36192,1
5161492,05-51,1
5189200,04-108820,1
5181936,97-74634,1
5153795,07-465028,1
5135919,94-51214,1
5124828,96-3213,1
5198058,06-355443,1
5189190,04-14056,1
5155072,14-1972,1
5151378,07-387676,1
5111526,93-88404,1
5112721,94-23432,1
5117379,94-90739,1
5163996,95-69930,1
5194282,05-356324,1
5189203,04-491012,1
5156588,06-243368,1
5187869,03-282686,1
5187477,97-49210,1
5181086,96-38942,1
5202791,09-147165,1
5114816,94-42029,1
5117375,94-67282,1
5117369,95-98614,1
5144268,94-92884,1
5116677,05-341523,1
5151058,08-459332,1
5158445,06-393573,1
5171458,00-213481,1
5186442,03-136158,1
5199955,08-145035,1
5141820,98-47532,1
5144141,04-533812,1
5164195,04-533834,1
5188062,06-160553,1
5189487,0324650,1
5116432,93-88593,1
5148551,08-7025,1
5111199,10-247169,1
5145907,95-10810,1
5119175,95-11754,1
5139212,98-62577,1
5147702,03-548654,1
5174942,96-22177,1
5181730,97-54624,1
5110405,93-76620,1
5127757,94-14292,1
5123133,95-75897,1
5170140,93-41331,1
5130601,01-29300,1
5187730,01-469210,1
5186520,06-52157,1
5135031,96-17343,1
5186656,04-546068,1
5133649,97-5282,1
5180608,96-65973,1
5140497,01-114576,1
5198273,07-174257,1
5128271,97-96641,1
5156025,06-150531,1
5116034,04-25347,1
5182328,97-87651,1
5114810,94-11459,1
5199160,07-373522,1
5116425,93-69400,1
5110340,93-93443,1
5145911,95-12880,1
5135631,95-9656,1
5109534,93-77886,1
5123469,93-88469,1
5120464,95-65469,1
5178264,96-34485,1
5123775,12-970,1
5180208,96-71557,1
5178346,94048860,1
5192025,04-541507,1
5150377,08-151759,1
5195641,05-550174,1
5117366,94-67459,1
5178331,94-48239,1
5145359,08-17787,1
5110403,93-62660,1
5187781,03-10148,1
5186993,07-62080,1
5138785,96-14699,1
5109914,06-290589,1
5153564,07-270675,1
5175408,96-27364,1
5116433,94-45285,1
5152548,07-170309,1
5109583,93-91574,1
5094167,12-116403,1
5124854,96-39011,1
5128331,96-83854,1
5124854,96-65900,1
5161618,04-41146,1
5127854,96-68928,1
5124641,95-85811,1
5158163,05-513245,1
5125863,98-99555,1
5125863,96-44014,1
5132408,98-14992,1
5151241,95-41277,1
5115974,94-50392,1
5111525,93-51879,1
5110340,93-83798,1
5155711,95-39527,1
5151269,95-30326,1
5183579,93-62393,1
5132173,94-26563,1
5107656,93-33703,1
5150816,08-84903,1
5135871,94-35310,1
5159017,08-72641,1
5138653,94-60931,1
5118186,94-51192,1
5121938,93-76287,1
5107651,93-40294,1
5111210,93-41246,1
5117273,95-18523,1
5132183,94-19501,1
5137104,96-7158,1
5138662,94-62991,1
5138734,94-68956,1
5141656,00-389382,1
5157945,95-47592,1
5115968,94-44822,1
5124458,96-3918,1
5182360,01-530359,1
5112721,94-23432,1
5178321,96-38844,1
5197962,06-300714,1
5124629,04-311897,1
5139720,00-309352,1
5192582,05-73325,1
5163638,06-165143,1
5061515,01-5440,1
5188002,04-360896,1
5141361,99-87193,1
5172933,96-10031,1
5153582,07-461898,1
5175419,96-29829,1
5194338,05-375308,1
5156378,08-8486,1
5187670,09-214467,1
5188056,06-155119,1
5134534,05-289331,1
5178219,96-32033,1
5158053,95-61678,1
5156484,02-305053,1
5164195,05-26549,1
5176071,00-164061,1
5204332,09-374334,1
5200943,08-242673,1
5129210,96-96273,1
5158122,06-66220,1
5124250,95-92773,1
5138785,98-73211,1
5163986,95-61235,1
5187991,07-126612,1
5180046,96-45917,1
5188472,04-452484,1
5123133,98-93232,1
5140566,00-171191,1
5158111,06-484460,1
5180029,96-44566,1
5186672,06-408424,1
5217536,10-176685,1
5192616,05-59686,1
5164371,04-191011,1
5213015,10-55947,1
5195792,06-98746,1
5185137,99-86851,1
5111426,94-1076,1
5151086,02-473134,1
5186491,04-163384,1
5181901,97-71264,1
5187903,04-267908,1
5127665,94-1900,1
5149493,09-242707,1
5198874,07-256036,1
5178187,94-25593,1
5212597,10-9590,1
5193234,98-88524,1
5139712,96-15552,1
5135496,98-91066,1
5135887,94-42868,1
5149922,94-86101,1
5182510,98-17411,1
5103967,00-406453,1
5183964,98-9672,1
5131716,97-90470,1
5107686,93-80730,1
5149418,08-328551,1
5180416,96-43138,1
5151352,08-18439,1
5198861,07-242007,1
5108733,93-29186,1
5178245,96-32725,1
5183128,02-119780,1
