Matter_ID,RMS_CaseNumber_Standardized,Location_Assault_Other_NJIT
5151073,08-398764,1
5146584,07-794,1
5144288,94-98075,1
5151427,07-81861,1
5180288,00-96073162,1
5122056,93-73090,1
5124087,95-6413,1
5157902,08-132481,1
5128329,96-73514,1
5190379,03-19857,1
5190379,03-19857,1
5177922,95051256,1
5193271,05-201688,1
5124022,94-59484,1
5143133,94-58017,1
5117352,95-36091,1
5129785,97-2514,1
5110280,93-29317,1
5143010,94-64315,1
5124711,95-15236,1
5158359,07-188799,1
5124736,95-11198,1
5120161,94-64886,1
5135767,94-33499,1
5110280,93-44509,1
5123329,94-60890,1
5144283,94-97290,1
5116427,94-54970,1
5116674,94-46730,1
5106695,05-547566,1
5135012,94-1623,1
5151078,03-531741,1
5111133,94-24302,1
5190797,96-7635,1
5110808,93-36472,1
5146395,05-465324,1
5140514,00-437681,1
5184317,99-31688,1
5184317,99-31688,1
5194656,00-259265,1
5184015,99-15388,1
5178215,95044057,1
5151092,08-219153,1
5210900,01-9-7066,1
5135906,94-48826,1
5171716,96-7145,1
5180603,96-62316,1
5187812,03-269454,1
5186983,03-298304,1
5201499,09-103198,1
5147304,98-49,1
5187807,03-231544,1
5165866,08-8527,1
5187982,97-66530,1
5127752,94-11232,1
5111133,93-87214,1
5180058,96-56280,1
5201284,09-70966,1
5154674,06-80300,1
5144872,97-3099,1
5188421,98-103409,1
5193679,05-300237,1
5168159,96-4246,1
5178317,96-38301,1
5108738,94-1867,1
5114247,95-94301,1
5137702,94-28625,1
5151264,95-29448,1
5152316,07-291994,1
5150262,08-305209,1
5123251,96-55018,1
5151078,08-375133,1
5151234,95-34568,1
5122111,95-57283,1
5156435,06-242570,1
5109951,93-33187,1
5138712,94-71282,1
5142265,96-39115,1
5111197,93-76160,1
5138714,94-71665,1
5151078,08-212779,1
5114443,93-15842,1
5134509,97-57743,1
5147970,03-503645,1
5188017,06-402609,1
5183179,98-71482,1
5200962,08-288452,1
5188310,02-234235,1
5187797,03-152447,1
5193312,05-209522,1
5164779,95-103665,1
5121995,95-67817,1
5144110,99-11859,1
5183590,06-322635,1
5184448,95-100000,1
5180723,97-27892,1
5123732,00-175959,1
5108102,93-24225,1
5114220,94-14961,1
5180610,96-67685,1
5175314,03-287868,1
5151151,08-285546,1
5190797,96-7635,1
5190797,96-7635,1
5191939,04-496883,1
5187808,03-262413,1
