Matter_ID,RMS_CaseNumber_Standardized,Outdoors
5150434,08-149796,1
5135876,94-37973,1
5132290,09-15676,1
5187756,02-424649,1
5121953,93-76514,1
5164480,95-83297,1
5115256,94-58078,1
5106633,93-46257,1
5108697,02-411145,1
5152475,07-323421,1
5128271,96-38729,1
5198189,07-173044,1
5124445,94-6519,1
5107877,93-16864,1
5187773,08-294186,1
5156025,06-125010,1
5123732,00-360710,1
5175420,96-30856,1
5127656,94-1416,1
5115256,94-10722,1
5110037,93-70315,1
5124736,95-60567,1
5123453,93-84945,1
5151231,95-34780,1
5106695,05-488497,1
5115256,93-84413,1
5124205,96-85521,1
5114809,96-81760,1
5146747,14-276602,1
5114809,93-66940,1
5135883,94-41863,1
5135904,94-47498,1
5197724,06-264391,1
5198575,07-325433,1
5124088,09-167981,1
5164485,95-86772,1
5143373,12-57440,1
5174872,96-19210,1
5201161,08-452341,1
5163182,06-513191,1
5127036,96-68759,1
5180613,96-79221,1
5187904,03-333421,1
5106717,09-87793,1
5143373,05-512694,1
5164450,04-244647,1
5124575,01-249847,1
5134358,97-55297,1
5109671,95-78702,1
5144075,01-532588,1
5146107,03-429844,1
5187715,01-8328,1
5132348,99-79705,1
5202932,09-217414,1
5162975,08-9561,1
5181704,97-52721,1
5193768,05-328709,1
5115256,93-94487,1
5107793,98-12365,1
5120464,95-63399,1
5116095,93-21559,1
5162153,02-474684,1
5103967,96-33171,1
5108697,94-11201,1
5125123,95-100478,1
5108697,93-52398,1
5114443,93-67795,1
5115256,94-32981,1
5125123,94-69367,1
5107793,01-170373,1
5180583,96-46803,1
5162207,04-431430,1
5156025,14-361090,1
5111330,94-28922,1
5107793,97-37841,1
5180077,96-49705,1
5125432,95-78769,1
5184065,99-18424,1
5187708,96-4545,1
5123329,93-23968,1
5163992,95-64072,1
5126468,96-28667,1
5170370,01-385666,1
5144711,01-296437,1
5137702,94-48164,1
5117215,94-70739,1
5135893,94-43204,1
5133295,13-207577,1
5108735,93-38803,1
5158024,95-59242,1
5110064,93-54001,1
5117391,94-73124,1
5127764,94-14255,1
5110028,93-70392,1
5124205,95-60987,1
5110037,93-65296,1
5112307,93-58405,1
5115156,94-36532,1
5107688,94-59100,1
5107688,94-90562,1
5108697,02-375942,1
5108697,94-718,1
5110217,93-53332,1
5114443,93-85143,1
5114443,94-15496,1
5127791,94-78972,1
5127844,95-47264,1
5127844,96-48846,1
5137870,94-76633,1
5138717,94-72271,1
5149521,08-343998,1
5114278,94-27399,1
5112377,94-40148,1
5132285,96-76703,1
5138713,94-71601,1
5111520,93-41116,1
5153602,07-408767,1
5187782,03-24361,1
5164114,95-73986,1
5138572,99-52748,1
5163182,06-446519,1
5164107,95-71677,1
5123946,99-60096,1
5144074,00-459783,1
5120482,94-29248,1
5175411,96-27835,1
5123732,98-92533,1
5163182,04-421116,1
5180053,96-56105,1
5115256,94-45641,1
5103967,10-387724,1
5111383,93-59262,1
5061502,01-81729,1
5150380,08-372683,1
5133622,97-13743,1
5134357,95-99991,1
5166064,96-6290,1
5189004,99-81301,1
5103967,98-49582,1
5190475,94-39513,1
5151050,09-2544,1
5184455,97-27509,1
5129774,07-8771,1
5138024,98-7204,1
5138644,94-57602,1
5133295,96-13266,1
5186586,92-25650,1
