Matter_ID,RMS_CaseNumber_Standardized,Domestic_violence
5189572,02-79271,1
5181730,97-54624,1
5110405,93-76620,1
5127757,94-14292,1
5130601,01-29300,1
5133649,97-5282,1
5135631,95-9656,1
5109534,93-77886,1
5178346,94048860,1
5186424,03-24684,1
5117366,94-67459,1
5145359,08-17787,1
5186993,07-62080,1
5150816,08-84903,1
5111210,93-41246,1
5188002,04-360896,1
5143373,12-57440,1
5129210,96-96273,1
5151086,02-473134,1
5183964,98-9672,1
5107686,93-80730,1
5180416,96-43138,1
5151352,08-18439,1
5187780,03-5499,1
5182647,98-42945,1
5187834,07-102280,1
5150821,07-209294,1
5201007,08-389008,1
5135955,98-54204,1
5122223,97-133,1
5154674,06-80300,1
5128399,96-101538,1
5151430,07-326919,1
5154675,06-147391,1
5150815,07-489577,1
5180592,96-52684,1
5117279,94-92620,1
5118175,94-64050,1
5150000,95-21683,1
5113454,94-38078,1
5151423,06-379650,1
5108736,93-43458,1
5127693,94-10074,1
5127697,94-7227,1
5138716,94-71921,1
5147977,95-17019,1
5162674,97-223,1
5178627,94-8902,1
5180185,96-68125,1
5180176,96-63569,1
5182315,97-85246,1
5133675,97-29280,1
5180422,96-72763,1
5188808,06-53627,1
5124627,96-5636,1
5118502,95-94880,1
5141740,99-63989,1
5163998,95-64582,1
5167392,04-116344,1
5170379,01-480896,1
5177705,93-87523,1
5183350,98-79147,1
5192843,05-119009,1
5126236,96-65133,1
5187800,03-251818,1
5124475,96-65573,1
5181833,97-65402,1
5187731,98-15412,1
5174901,96-21394,1
5151311,08-164246,1
5181335,00-36414,1
5192490,05-31447,1
5114814,94-52493,1
5150598,97-82909,1
5133425,97-37016,1
5188012,04-425879,1
5192162,04-66000,1
5130646,97-46943,1
5180895,01-409667,1
5193765,05-325251,1
5181317,97-35138,1
