Matter_ID,RMS_CaseNumber_Standardized,Means_access_Other_NJIT
5189200,04-108820,1
5181936,97-74634,1
5153795,07-465028,1
5124828,96-3213,1
5198058,06-355443,1
5189190,04-14056,1
5155072,14-1972,1
5151378,07-387676,1
5189462,95-97472,1
5111526,93-88404,1
5112721,94-23432,1
5117379,94-90739,1
5163996,95-69930,1
5194282,05-356324,1
5186520,06-52157,1
5140497,01-114576,1
5198273,07-174257,1
5128271,97-96641,1
5156025,06-150531,1
5182328,97-87651,1
5199160,07-373522,1
5116095,94-39961,1
5123775,12-970,1
5111428,95-22,1
5150377,08-151759,1
5195641,05-550174,1
5172946,96-11873,1
5109583,93-91574,1
5151241,95-41277,1
5151269,95-30326,1
5124736,95-11198,1
5115730,94-15520,1
5183579,93-62393,1
5132173,94-26563,1
5124458,96-3918,1
5182360,01-530359,1
5112721,94-23432,1
5178321,96-38844,1
5197962,06-300714,1
5201161,08-452341,1
5172933,96-10031,1
5213015,10-55947,1
5195792,06-98746,1
5185137,99-86851,1
5111426,94-1076,1
5181901,97-71264,1
5150421,94-90667,1
5184015,99-15388,1
5198874,07-256036,1
5193234,98-88524,1
5182510,98-17411,1
5149418,08-328551,1
5198861,07-242007,1
5183128,02-119780,1
5140471,98-21227,1
5147304,98-49,1
5108697,93-52398,1
5111201,93-88420,1
5177796,01-103314,1
5195641,05-550174,1
5178858,95014740,1
5195641,05-550174,1
5187757,02-452247,1
5164075,95-69880,1
5180180,96-66908,1
5158008,95-52606,1
5180003,96-50525,1
5161184,04-354051,1
5172947,96-12069,1
5127752,94-11232,1
5110061,93-88590,1
5128481,94-47006,1
5151091,09-240974,1
5135951,98-51649,1
5174857,96-33960,1
5178344,96-41224,1
5144127,08-453852,1
5201284,09-70966,1
5168137,96-14683,1
5185137,99-86851,1
5192144,04-489245,1
5137702,94-48164,1
5108738,94-1867,1
5110062,93-71196,1
5151045,07-303579,1
5138555,94-68586,1
5119174,94-78791,1
5124699,95-78608,1
5149495,06-71140,1
5111137,95-13107,1
5158014,95-55612,1
5135869,94-33703,1
5143254,00-346375,1
5109685,93-51996,1
5115289,94-42628,1
5151257,95-25893,1
5137702,94-28625,1
5146008,95-118,1
5157113,95-30976,1
5135348,94-49031,1
5115290,94-37436,1
5132159,94-18716,1
5123130,95-63606,1
5151264,95-29448,1
5111523,93-50634,1
5111529,94-6131,1
5133295,13-207577,1
5134959,95-4268,1
5138660,94-62229,1
5110048,93-28276,1
5108735,93-38803,1
5152316,07-291994,1
5135873,94-37306,1
5141964,94-84139,1
5156179,06-79702,1
5139723,06-474594,1
5147490,03-404571,1
5142423,01-306585,1
5145145,09-36324,1
5180025,96-44212,1
5188564,06-200380,1
5188017,06-402609,1
5192242,03-416832,1
5199011,07-321895,1
5200950,08-258071,1
5183339,98-68773,1
5193683,05-284056,1
5183179,98-71482,1
5181430,99-39431,1
5186373,03-351174,1
5129709,97-16664,1
5173370,97-90205,1
5166129,06-671,1
5180075,96-58464,1
5178271,96-35021,1
5122846,98-68099,1
5145672,03-483632,1
5132810,97-73971,1
5138572,99-52748,1
5178325,94048147,1
5141924,01-22934,1
5178102,94-7182,1
5171478,01-330535,1
5200935,08-334254,1
5186351,03-365908,1
5194631,08-7430,1
5150600,07-288829,1
5168148,96-827,1
5140044,98-95414,1
5178318,96-38563,1
5186657,04-517752,1
5200961,08-285324,1
5181727,00-556496,1
5147706,09-272910,1
5178260,96-34135,1
5202879,09-179582,1
5191939,04-496883,1
5135901,94-46593,1
5164000,95-64599,1
5194721,00-343115,1
5186497,04-194971,1
5188299,02-196398,1
5180755,97-19609,1
