Matter_ID,RMS_CaseNumber_Standardized,Suspect_Other_NJIT,Suspect_Roommate,Suspect_Authority,Suspect_Relative,Suspect_Coworker,Suspect_Parental_figure,Suspect_Friend_not_romantic
5107651,93-40294,1,0,0,0,0,0,1
5108038,95-99257,1,0,0,0,0,0,1
5109951,11-219019,1,0,0,0,0,0,1
5110429,93-50862,1,0,0,0,0,0,1
5110813,93-94466,1,0,0,0,0,0,1
5111426,94-1076,1,0,0,0,0,1,0
5111520,93-41116,1,0,0,1,0,0,0
5111523,93-50634,1,1,0,0,0,0,0
5111526,93-88404,1,0,0,0,0,1,0
5112721,94-23432,1,0,0,0,0,0,1
5112721,94-23432,1,0,0,0,0,0,1
5115293,94-47406,1,0,0,0,0,0,1
5117147,94-60746,1,0,0,0,0,0,1
5117369,95-98614,1,0,1,0,0,0,0
5117379,94-90739,1,0,1,0,0,0,0
5118802,95-83085,1,0,0,0,0,0,1
5121414,95-45870,1,0,0,0,0,1,0
5124410,95-90755,1,0,0,0,0,0,1
5125239,94-29465,1,0,0,0,0,0,1
5128260,96-32654,1,0,0,0,0,0,1
5128398,96-101083,1,0,0,1,0,0,0
5129709,97-16664,1,0,1,0,0,0,0
5132531,09-13778,1,0,0,0,0,0,1
5133649,97-5282,1,0,0,1,0,0,0
5135873,94-37306,1,0,1,0,0,0,0
5135901,94-46593,1,0,1,0,0,0,0
5136204,98-51869,1,0,0,1,0,0,0
5136742,97-69159,1,0,1,0,0,0,0
5137688,98-50301,1,0,0,1,0,0,0
5137688,99-59973,1,0,0,0,0,0,1
5138045,99-73036,1,0,0,0,0,0,1
5138531,98-75510,1,0,0,1,0,0,0
5138646,94-59021,1,0,0,0,0,0,1
5139720,96-87592,1,0,0,0,0,0,1
5140471,98-21227,1,0,0,1,0,0,0
5140497,01-114576,1,0,0,0,0,0,1
5141922,00-19616,1,0,0,0,0,0,1
5141924,01-22934,1,0,0,1,0,0,0
5141964,94-84139,1,0,0,0,0,1,0
5144283,94-97290,1,0,0,0,1,0,0
5146470,95-6346,1,0,0,0,0,0,1
5147304,98-49,1,0,1,0,0,0,0
5147702,03-548654,1,0,0,1,0,0,0
5147706,09-272910,1,0,0,1,0,0,0
5147981,95-20757,1,1,0,0,0,0,0
5147984,95-23451,1,0,0,0,0,1,0
5148708,09-120114,1,0,0,0,0,0,1
5149418,08-328551,1,0,0,1,0,0,0
5149493,09-242707,1,1,0,0,0,0,0
5150377,08-151759,1,0,0,0,0,1,0
