Matter_ID,RMS_CaseNumber_Standardized,Social_situation
5191947,04-87569,1
5161492,05-51,1
5151073,08-398764,1
5187869,03-282686,1
5202791,09-147165,1
5153388,0727637,1
5178250,96-33920,1
5144268,94-92884,1
5116677,05-341523,1
5151058,08-459332,1
5171458,00-213481,1
5199955,08-145035,1
5144141,04-533812,1
5164195,04-533834,1
5188062,06-160553,1
5189487,0324650,1
5146584,07-794,1
5174942,96-22177,1
5121953,93-76514,1
5186656,04-546068,1
5116034,12-347276,1
5180288,00-96073162,1
5192025,04-541507,1
5187781,03-10148,1
5175408,96-27364,1
5187481,96-86114,1
5158209,07-6473,1
5158163,05-513245,1
5125863,98-99555,1
5132408,98-14992,1
5111525,93-51879,1
5151231,95-34780,1
5192582,05-73325,1
5163638,06-165143,1
5163182,06-513191,1
5175419,96-29829,1
5187670,09-214467,1
5180613,96-79221,1
5187904,03-333421,1
5176071,00-164061,1
5204332,09-374334,1
5180046,96-45917,1
5140566,00-171191,1
5202932,09-217414,1
5158111,06-484460,1
5217536,10-176685,1
5178187,94-25593,1
5199955,08-144667,1
5212597,10-9590,1
5135496,98-91066,1
5149922,94-86101,1
5151092,08-219153,1
5178245,96-32725,1
5201499,09-103198,1
5187845,04-276109,1
5181193,00-328544,1
5139344,98-51787,1
5159509,05-491543,1
5153429,07-146967,1
5118183,94-74355,1
5127684,94-6624,1
5143874,05-408291,1
5171621,01-259390,1
5180058,96-56280,1
5134829,98-36397,1
5180575,96-43144,1
5125432,95-78769,1
5144872,97-3099,1
5179720,02-84884,1
5181882,97-71005,1
5149528,08-15520,1
5147495,04-250425,1
5188421,98-103409,1
5212177,09-409658,1
5127211,96-1064701,1
5163992,95-64072,1
5149529,12-86630,1
5164061,95-59335,1
5178352,96-42982,1
5151890,07-33423,1
5158278,08-834445,1
5168159,96-4246,1
5143961,08-6540,1
5106633,95-50557,1
5121414,95-28942,1
5161969,03-215611,1
5127586,94-115,1
5161969,08-29909,1
5128877,96-54718,1
5110063,95-44990,1
5121193,95-54610,1
5110406,93-81204,1
5111197,93-76160,1
5127791,94-78972,1
5147970,03-503645,1
5118166,94-58765,1
5180025,96-44212,1
5177716,93-90286,1
5188364,02-596084,1
5188371,03-4740,1
5194710,00-316196,1
5164336,03-269378,1
5186355,03-357539,1
5186524,06-53716,1
5183325,02-170276,1
5213143,10-69589,1
5199198,07-392211,1
5168423,95-92027,1
5131699,97-15163,1
5124083,97-4264,1
5181934,01-306263,1
5110813,93-94466,1
5164114,95-73986,1
5201212,94-65624,1
5187965,04-177367,1
5144151,00-209862,1
5195017,01-114056,1
5199776,08-72124,1
5199785,08-84540,1
5182137,96-46892,1
5187802,03-257180,1
5195162,01-465767,1
5150837,07-393580,1
5193312,05-209522,1
5135690,98-5361,1
5180074,96-49856,1
5186987,07-48820,1
5198662,07-229641,1
5198977,03-16233,1
5147002,03-133738,1
5155534,06-145772,1
5175398,96-25595,1
5181692,97-52094,1
5186483,04-100382,1
5188005,04-268559,1
5173370,96-101025,1
5184938,99-77318,1
5183590,06-322635,1
5121932,93-75107,1
5134820,98-32104,1
5136204,98-51869,1
5139214,99-47847,1
5154974,95-80732,1
5170073,03-49169,1
5170175,93-47054,1
5170732,01-303410,1
5187962,04-333556,1
5125872,96-21782,1
5138570,98-20065,1
5187921,04-212520,1
5162762,05-93453,1
5122846,96-1374,1
5135501,99-45557,1
5139347,99-34751,1
5139347,99-34751,1
5186655,04-283130,1
5214613,10-97139,1
5216432,10-136144,1
5135041,97-41573,1
5111205,08-201492,1
5128398,96-101083,1
5108102,93-24225,1
5200881,08-241989,1
5191181,03-160287,1
5125139,02-614122,1
5185260,03-396535,1
5175314,03-287868,1
5151151,08-285546,1
5189065,01-571406,1
5180585,96-50539,1
5151042,07-283072,1
5162447,04-467774,1
5193647,05-254564,1
5175415,96-28164,1
5186586,92-25650,1
