Matter_ID,RMS_CaseNumber_Standardized,Susp_use_weapon
5135919,94-51214,1
5124828,96-3213,1
5144268,94-92884,1
5116432,93-88593,1
5187756,02-424649,1
5144288,94-98075,1
5145907,95-10810,1
5181730,97-54624,1
5127667,94-5423,1
5187730,01-469210,1
5133649,97-5282,1
5164480,95-83297,1
5180608,96-65973,1
5140497,01-114576,1
5180174,96-62118,1
5128327,96-65759,1
5128271,97-96641,1
5114810,94-11459,1
5115256,94-58078,1
5116095,94-39961,1
5117584,94-83885,1
5110340,93-93443,1
5116095,93-78071,1
5107783,95-36619,1
5110137,94-68061,1
5135899,94-46094,1
5106633,93-46257,1
5109534,93-77886,1
5123469,93-88469,1
5120464,95-65469,1
5157902,08-132481,1
5120818,95-52210,1
5180208,96-71557,1
5198189,07-173044,1
5124085,96-1549,1
5173370,97-63265,1
5128329,96-73514,1
5180056,96-55969,1
5190660,94-68320,1
5190379,03-19857,1
5190379,03-19857,1
5124445,94-6519,1
5107877,93-16864,1
5172946,96-11873,1
5187773,08-294186,1
5124445,95-77200,1
5187724,01-205494,1
5110403,93-62660,1
5193271,05-201688,1
5138785,96-14699,1
5109914,06-290589,1
5124022,94-59484,1
5153564,07-270675,1
5143133,94-58017,1
5129785,97-2514,1
5110280,93-29317,1
5143010,94-64315,1
5127854,96-68928,1
5124641,95-85811,1
5175420,96-30856,1
5176450,00-178334,1
5158359,07-188799,1
5127656,94-1416,1
5115974,94-50392,1
5115256,94-10722,1
5110340,93-83798,1
5156024,04-159810,1
5110037,93-70315,1
5124736,95-11198,1
5132173,94-26563,1
5120161,94-64886,1
5135767,94-33499,1
5123453,93-84945,1
5107647,95-66372,1
5145632,95-47656,1
5110280,93-44509,1
5123329,94-60890,1
5144275,94-96218,1
5141953,94-77952,1
5145642,06-446171,1
5106695,05-488497,1
5115256,93-84413,1
5114809,96-81760,1
5146747,14-276602,1
5144271,94-94917,1
5114809,93-66940,1
5106695,05-547566,1
5135012,94-1623,1
5061467,05-405392,1
5120548,13-43472,1
5124085,02-410762,1
5124085,93-64524,1
5124085,95-58007,1
5124085,95-82977,1
5124085,96-99418,1
5137104,95-53935,1
5137616,98-83610,1
5141230,94-22778,1
5159017,14-152778,1
5137104,96-7158,1
5141656,00-389382,1
5110340,95-93440,1
5123251,96-42748,1
5112721,94-23432,1
5139720,00-309352,1
5176046,01-77215,1
5198575,07-325433,1
5061515,01-5440,1
5190797,96-7635,1
5138020,96-29396,1
5124088,09-167981,1
5164485,95-86772,1
5171043,03-396772,1
5132778,97-11054,1
5170378,15-29761,1
5140514,00-437681,1
5171043,03-505611,1
5187904,03-333421,1
5158053,95-61678,1
5123732,95-68830,1
5131878,13-2050,1
5171043,03-391205,1
5173370,96-27851,1
5187714,96-55909,1
5187738,99-25638,1
5143373,05-512694,1
5156484,02-305053,1
5164195,05-26549,1
5164450,04-244647,1
5124575,01-249847,1
5129210,96-96273,1
5158122,06-66220,1
5146107,03-429844,1
5187715,01-8328,1
5124844,95-97218,1
5162181,96-21699,1
5166764,04-475843,1
5132348,99-79705,1
5138785,98-73211,1
5163986,95-61235,1
5187991,07-126612,1
5188472,04-452484,1
5190658,94-67929,1
5140566,00-171191,1
5158111,06-484460,1
