word,frequency
mater,888
id,994
rms,1675
original,1253
narrative,2132
case,2939
title,898
kidnappingrape,127
victim,17525
laniesha,2
edwards,23
states,3903
datearound,1
walking,436
meet,74
sister,252
bus,232
stop,360
e,265
kinsman,95
show,125
walked,473
next,220
thinking,16
wrong,57
got,998
corner,136
fuller,11
males,785
stated,4499
stones,1
give,403
us,520
sex,4212
female,625
implied,1
meant,13
crack,71
cocaine,66
refused,288
two,462
away,315
one,595
stayed,58
behind,382
offender,925
unknown,570
grabbed,489
around,515
waist,36
forced,559
home,1412
known,238
drug,95
house,1302
pushed,316
onto,176
couch,207
said,1075
take,537
clothes,612
thoughtthat,1
playing,48
tried,269
stand,41
back,1280
pulled,949
skirt,25
began,901
forceable,1
sexual,593
intercourse,520
incident,495
occurring,6
wanted,531
lick,22
balls,4
put,625
finger,71
ass,42
point,262
crying,162
dont,277
shut,95
im,56
going,576
go,609
upstairs,253
get,990
gun,290
kill,268
continued,276
raping,48
ejaluation,1
passed,80
highly,38
intoxicated,79
leaving,169
chance,14
escape,33
ran,350
restaurant,26
across,138
street,1022
advised,831
passing,22
motorist,11
raped,726
conveyed,835
phoned,37
police,1187
upon,954
arrival,569
upset,95
emergency,693
medical,680
services,616
arrived,372
scene,1220
vitim,18
could,554
hospital,1542
treatment,98
driving,161
obtain,43
address,797
lights,38
appear,46
inside,553
dropped,105
would,836
return,122
investigate,460
admitted,49
rape,2654
kit,1356
returned,373
place,206
occurence,13
knocked,115
door,839
response,284
doors,50
secured,90
still,228
toured,190
area,910
suspects,831
goautl,6
treated,433
dr,249
carol,4
univeristy,1
evidence,909
mte,52
district,1108
book,546
line,134
page,200
respectfully,691
request,907
crimes,2011
follow,938
sdco,298
male,4252
j,120
avery,20
rmales,23
clevelanawlice,1
department,465
offensiolcident,1
report,1272
detective,1899
followup,1120
sir,413
received,1696
assignment,880
investigation,1871
results,541
follows,78
statement,942
taken,805
viewed,50
photo,143
lineup,19
mar,4
asst,207
city,503
cleveland,903
prosc,26
kinast,33
reviewed,279
facts,684
ruled,368
papers,473
may,106
ddt,1
arthur,37
king,183
lieutenant,546
light,522
tmchugh,6
ozc,3
crimeschild,845
abuse,1574
unit,2973
car,3112
read,355
held,313
abeyance,78
bureau,259
criminal,195
notified,475
office,518
preliminary,34
convicted,31
dolman,2
iii,8
date,1233
birth,320
social,267
security,261
number,460
victims,2004
reopening,1
file,72
several,547
searches,7
conducted,333
locate,315
negative,178
lna,1
womens,20
sherlte,1
r,148
payne,22
conferring,101
miss,83
billy,25
ave,241
homeless,29
shelter,81
learned,168
east,1387
side,430
catholic,5
st,177
housing,111
center,232
arriving,58
conferred,1142
director,3
elston,2
verify,14
whether,15
client,5
reason,26
left,1257
business,71
card,132
forward,293
abe,1
yance,1
comes,221
indicate,3
intentions,5
longer,81
c,194
onnection,1
mentioned,199
christina,12
primary,69
investigative,715
officer,1693
charge,754
also,1784
written,1174
oic,965
lt,715
baumiller,272
assigned,1958
child,476
abeyanceheld,2
rapekidnapping,21
boyfriends,33
parmelee,1
last,347
night,236
bound,53
arlington,9
crossing,6
heard,223
vehicle,974
pull,103
kept,189
hoping,6
person,1095
spot,17
suspect,8734
black,770
handgun,42
head,358
neck,173
laid,90
seat,266
drove,531
took,884
used,142
apartment,779
building,212
vacant,42
lot,278
turned,230
told,2225
use,162
bathroom,279
passenger,131
right,296
front,498
asked,1333
let,309
see,344
chest,62
shirt,258
ripped,58
perform,148
oral,315
minutes,296
picked,325
leaning,1
ride,176
believes,83
ejaculated,394
mother,840
scared,46
call,607
called,762
university,174
send,18
white,341
older,33
station,136
wagon,10
red,95
seats,8
carpet,11
air,18
freshner,1
stuck,68
dashboard,2
wood,17
grain,1
looking,91
typed,339
faxed,239
sdcotaylorcm,8
additional,456
information,1034
rapekidnappingsupplement,2
marked,456
tagged,534
entered,1047
property,854
bookl,1
change,205
old,471
new,264
rapekidnappingexceptional,4
clean,526
division,80
speak,67
disinterested,1
however,65
interview,821
scheduled,101
didnt,341
reschedule,26
inquire,4
tired,35
want,334
another,239
time,2877
certified,94
letter,192
mailed,47
prosecutor,585
angela,32
rodriguez,44
issue,22
due,267
unwilling,16
cooperate,41
log,104
exceptional,224
joe,32
rini,14
michael,266
kidnappingrapeexceptional,7
kidnappingrapeheld,1
abeyancepartial,1
notification,35
identification,68
investigationbureau,1
identified,166
search,153
ohios,1
state,189
dna,108
index,3
system,28
sdis,1
assoociation,1
made,861
richfield,10
speciman,1
minor,49
raeshaun,2
paige,2
ssn,85
since,117
receiving,63
possible,207
able,223
located,254
periodic,1
checks,25
ohleg,12
revealed,107
good,78
partial,23
assignmentl,1
rapekidnappingheld,1
attempt,103
find,111
data,17
bases,10
responded,464
arcade,3
message,135
ms,312
carter,34
lived,109
oct,5
provided,118
phone,749
landlord,11
spoke,285
toloe,1
vandalized,1
jackson,107
pipes,2
stolen,55
hasnt,10
seen,177
lka,2
dfacts,5
victi,5
note,80
cottom,53
cwith,363
cr,4
ime,2
zone,1438
company,455
po,171
roberts,9
radio,575
respond,356
shaker,28
blvd,45
connection,250
met,489
buckeye,38
road,207
friends,259
went,1455
wen,1
visit,90
jake,2
clark,73
th,20
sitting,142
livingroom,42
smoking,36
milds,2
goes,33
weed,13
mild,4
freaked,2
liner,1
cigar,2
tabacco,1
must,11
feel,53
like,185
drugged,7
arm,154
come,512
pants,843
sink,10
hand,283
vagina,535
started,460
pushing,46
putting,51
pussy,54
repeated,13
suck,125
penis,681
knees,72
imale,129
guys,7
treat,9
malee,18
dick,113
soft,6
hard,58
sucking,16
sweaty,1
sucked,13
lifted,27
bleeding,34
stopped,223
much,29
witness,440
